Question ID,Topic,Question,Status,Short Notes,Solution Link
Q023,Topic 2 - Bit Manipulation (16),Detect power-of-2,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/02_bit_manipulation_solutions.md#L99
Q024,Topic 2 - Bit Manipulation (16),Next power-of-2,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/02_bit_manipulation_solutions.md#L116
Q025,Topic 2 - Bit Manipulation (16),Parity bit,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/02_bit_manipulation_solutions.md#L142
Q026,Topic 2 - Bit Manipulation (16),Swap odd/even bits,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/02_bit_manipulation_solutions.md#L163
Q027,Topic 2 - Bit Manipulation (16),Sensor frame bitfield pack,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/02_bit_manipulation_solutions.md#L180
Q028,Topic 2 - Bit Manipulation (16),Bitfield unpack + validate,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/02_bit_manipulation_solutions.md#L199
Q029,Topic 2 - Bit Manipulation (16),Missing number (XOR),Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/02_bit_manipulation_solutions.md#L227
Q030,Topic 2 - Bit Manipulation (16),Single non-duplicate (XOR),Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/02_bit_manipulation_solutions.md#L251
Q031,Topic 2 - Bit Manipulation (16),CRC-8,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/02_bit_manipulation_solutions.md#L272
Q032,Topic 2 - Bit Manipulation (16),CRC-16,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/02_bit_manipulation_solutions.md#L301
Q033,Topic 2 - Bit Manipulation (16),Fast divide-by-10,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/02_bit_manipulation_solutions.md#L330
Q034,Topic 2 - Bit Manipulation (16),Endianness helpers (16/32/64),Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/02_bit_manipulation_solutions.md#L347
Q035,Topic 3 - Circular Buffer & Queue (12),SPSC circular buffer,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/03_circular_buffer_and_queue_solutions.md#L3
Q036,Topic 3 - Circular Buffer & Queue (12),One-slot-open full/empty,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/03_circular_buffer_and_queue_solutions.md#L53
Q037,Topic 3 - Circular Buffer & Queue (12),Count-based full/empty,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/03_circular_buffer_and_queue_solutions.md#L74
Q038,Topic 3 - Circular Buffer & Queue (12),Overwrite-oldest policy,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/03_circular_buffer_and_queue_solutions.md#L115
Q039,Topic 3 - Circular Buffer & Queue (12),Discard-newest policy,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/03_circular_buffer_and_queue_solutions.md#L142
Q040,Topic 3 - Circular Buffer & Queue (12),Power-of-2 indexing,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/03_circular_buffer_and_queue_solutions.md#L159
Q041,Topic 3 - Circular Buffer & Queue (12),ISR-producer/task-consumer queue,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/03_circular_buffer_and_queue_solutions.md#L176
Q042,Topic 3 - Circular Buffer & Queue (12),DMA-friendly contiguous read API,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/03_circular_buffer_and_queue_solutions.md#L201
Q043,Topic 3 - Circular Buffer & Queue (12),MPSC queue (lock-protected),Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/03_circular_buffer_and_queue_solutions.md#L224
Q044,Topic 3 - Circular Buffer & Queue (12),Lock-free SPSC linked queue,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/03_circular_buffer_and_queue_solutions.md#L252
Q045,Topic 3 - Circular Buffer & Queue (12),Deferred interrupt work queue,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/03_circular_buffer_and_queue_solutions.md#L283
Q046,Topic 3 - Circular Buffer & Queue (12),Priority event queue,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/03_circular_buffer_and_queue_solutions.md#L312
Q047,Topic 4 - Concurrency & Multithreading (14),Spinlock (atomic_flag),Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/04_concurrency_and_multithreading_solutions.md#L3
Q048,Topic 4 - Concurrency & Multithreading (14),Ticket lock,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/04_concurrency_and_multithreading_solutions.md#L36
Q049,Topic 4 - Concurrency & Multithreading (14),Minimal mutex (atomics),Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/04_concurrency_and_multithreading_solutions.md#L65
Q050,Topic 4 - Concurrency & Multithreading (14),Counting semaphore,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/04_concurrency_and_multithreading_solutions.md#L98
Q051,Topic 4 - Concurrency & Multithreading (14),Binary semaphore (ISR give),Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/04_concurrency_and_multithreading_solutions.md#L131
Q052,Topic 4 - Concurrency & Multithreading (14),Reader-writer lock,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/04_concurrency_and_multithreading_solutions.md#L162
Q053,Topic 4 - Concurrency & Multithreading (14),Overflow-safe atomic counter,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/04_concurrency_and_multithreading_solutions.md#L199
Q054,Topic 4 - Concurrency & Multithreading (14),Producer-consumer bounded buffer,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/04_concurrency_and_multithreading_solutions.md#L229
Q055,Topic 4 - Concurrency & Multithreading (14),Deadlock detection (wait-for),Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/04_concurrency_and_multithreading_solutions.md#L280
Q056,Topic 4 - Concurrency & Multithreading (14),Priority inversion mitigation,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/04_concurrency_and_multithreading_solutions.md#L313
Q057,Topic 4 - Concurrency & Multithreading (14),Starvation-free RW policy,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/04_concurrency_and_multithreading_solutions.md#L341
Q058,Topic 4 - Concurrency & Multithreading (14),ABA demo (lock-free stack),Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/04_concurrency_and_multithreading_solutions.md#L368
Q059,Topic 4 - Concurrency & Multithreading (14),Tagged-pointer lock-free stack,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/04_concurrency_and_multithreading_solutions.md#L403
Q060,Topic 4 - Concurrency & Multithreading (14),Acquire/release correctness,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/04_concurrency_and_multithreading_solutions.md#L426
Q061,Topic 5 - Cache-Efficient Programming (8),False-sharing detect + padding,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/05_cache_efficient_programming_solutions.md#L3
Q062,Topic 5 - Cache-Efficient Programming (8),Cache-line-aware struct layout,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/05_cache_efficient_programming_solutions.md#L25
Q063,Topic 5 - Cache-Efficient Programming (8),AoS→SoA conversion,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/05_cache_efficient_programming_solutions.md#L49
Q064,Topic 5 - Cache-Efficient Programming (8),Blocked matrix multiply,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/05_cache_efficient_programming_solutions.md#L76
Q065,Topic 5 - Cache-Efficient Programming (8),Prefetch-friendly traversal,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/05_cache_efficient_programming_solutions.md#L106
Q066,Topic 5 - Cache-Efficient Programming (8),Hot/cold data split,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/05_cache_efficient_programming_solutions.md#L127
Q067,Topic 5 - Cache-Efficient Programming (8),Cache-aligned ring indices,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/05_cache_efficient_programming_solutions.md#L151
Q068,Topic 5 - Cache-Efficient Programming (8),L1/L2 block-size tuning,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/05_cache_efficient_programming_solutions.md#L171
Q069,Topic 6 - Embedded Data Structures (12),Hash table (open addressing),Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/06_embedded_data_structures_solutions.md#L3
Q070,Topic 6 - Embedded Data Structures (12),Hash (chaining + static pool),Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/06_embedded_data_structures_solutions.md#L27
Q071,Topic 6 - Embedded Data Structures (12),Fixed-capacity map,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/06_embedded_data_structures_solutions.md#L55
Q072,Topic 6 - Embedded Data Structures (12),Binary heap PQ,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/06_embedded_data_structures_solutions.md#L79
Q073,Topic 6 - Embedded Data Structures (12),Indexed PQ,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/06_embedded_data_structures_solutions.md#L107
Q074,Topic 6 - Embedded Data Structures (12),LRU cache (hash + DLL),Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/06_embedded_data_structures_solutions.md#L129
Q075,Topic 6 - Embedded Data Structures (12),Timer wheel,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/06_embedded_data_structures_solutions.md#L243
Q076,Topic 6 - Embedded Data Structures (12),Min-heap timer queue,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/06_embedded_data_structures_solutions.md#L267
Q077,Topic 6 - Embedded Data Structures (12),Bitmap free-slot allocator,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/06_embedded_data_structures_solutions.md#L300
Q078,Topic 6 - Embedded Data Structures (12),Intrusive linked list,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/06_embedded_data_structures_solutions.md#L324
Q079,Topic 6 - Embedded Data Structures (12),container_of() usage,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/06_embedded_data_structures_solutions.md#L354
Q080,Topic 6 - Embedded Data Structures (12),Run queue (priority + FIFO),Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/06_embedded_data_structures_solutions.md#L372
Q081,Topic 7 - Driver-Style Coding (18),UART polling,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/07_driver_style_coding_solutions.md#L3
Q082,Topic 7 - Driver-Style Coding (18),UART IRQ RX,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/07_driver_style_coding_solutions.md#L35
Q083,Topic 7 - Driver-Style Coding (18),UART IRQ TX,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/07_driver_style_coding_solutions.md#L83
Q084,Topic 7 - Driver-Style Coding (18),UART DMA TX,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/07_driver_style_coding_solutions.md#L106
Q085,Topic 7 - Driver-Style Coding (18),UART DMA circular RX,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/07_driver_style_coding_solutions.md#L137
Q086,Topic 7 - Driver-Style Coding (18),SPI blocking,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/07_driver_style_coding_solutions.md#L154
Q087,Topic 7 - Driver-Style Coding (18),SPI IRQ state machine,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/07_driver_style_coding_solutions.md#L185
Q088,Topic 7 - Driver-Style Coding (18),SPI DMA full-duplex,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/07_driver_style_coding_solutions.md#L205
Q089,Topic 7 - Driver-Style Coding (18),I2C master write,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/07_driver_style_coding_solutions.md#L228
Q090,Topic 7 - Driver-Style Coding (18),I2C master read (repeated start),Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/07_driver_style_coding_solutions.md#L268
Q091,Topic 7 - Driver-Style Coding (18),I2C bus recovery,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/07_driver_style_coding_solutions.md#L302
Q092,Topic 7 - Driver-Style Coding (18),GPIO driver,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/07_driver_style_coding_solutions.md#L322
Q093,Topic 7 - Driver-Style Coding (18),GPIO IRQ debounce,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/07_driver_style_coding_solutions.md#L354
Q094,Topic 7 - Driver-Style Coding (18),ADC single-shot (timeout),Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/07_driver_style_coding_solutions.md#L377
Q095,Topic 7 - Driver-Style Coding (18),ADC continuous (callback),Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/07_driver_style_coding_solutions.md#L407
Q096,Topic 7 - Driver-Style Coding (18),PWM driver,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/07_driver_style_coding_solutions.md#L435
Q097,Topic 7 - Driver-Style Coding (18),Watchdog (init/kick),Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/07_driver_style_coding_solutions.md#L463
Q098,Topic 7 - Driver-Style Coding (18),RTC (set/get/alarm),Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/07_driver_style_coding_solutions.md#L491
Q099,Topic 8 - Real-Time & Reliability (10),Software timer queue (sorted list),Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/08_real_time_and_reliability_solutions.md#L3
Q100,Topic 8 - Real-Time & Reliability (10),Periodic timer w/o drift,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/08_real_time_and_reliability_solutions.md#L42
Q101,Topic 8 - Real-Time & Reliability (10),Race-safe timer cancel,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/08_real_time_and_reliability_solutions.md#L59
Q102,Topic 8 - Real-Time & Reliability (10),Rate Monotonic Scheduler,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/08_real_time_and_reliability_solutions.md#L91
Q103,Topic 8 - Real-Time & Reliability (10),Earliest Deadline First,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/08_real_time_and_reliability_solutions.md#L120
Q104,Topic 8 - Real-Time & Reliability (10),Deadline miss accounting,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/08_real_time_and_reliability_solutions.md#L148
Q105,Topic 8 - Real-Time & Reliability (10),Driver timeout wrapper,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/08_real_time_and_reliability_solutions.md#L173
Q106,Topic 8 - Real-Time & Reliability (10),Exponential backoff retry,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/08_real_time_and_reliability_solutions.md#L199
Q107,Topic 8 - Real-Time & Reliability (10),Driver reset/reinit,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/08_real_time_and_reliability_solutions.md#L225
Q108,Topic 8 - Real-Time & Reliability (10),Fault-tolerant state machine,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/08_real_time_and_reliability_solutions.md#L246
Q109,"Topic 9 - System, MMIO, IPC (14)",Register map HAL,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/09_system_mmio_ipc_and_low_level_solutions.md#L3
Q110,"Topic 9 - System, MMIO, IPC (14)",Safe register RMW,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/09_system_mmio_ipc_and_low_level_solutions.md#L26
Q111,"Topic 9 - System, MMIO, IPC (14)",Atomic register access (ISR+task),Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/09_system_mmio_ipc_and_low_level_solutions.md#L45
Q112,"Topic 9 - System, MMIO, IPC (14)",Interrupt controller abstraction,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/09_system_mmio_ipc_and_low_level_solutions.md#L64
Q113,"Topic 9 - System, MMIO, IPC (14)",Mailbox IPC (dual-core),Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/09_system_mmio_ipc_and_low_level_solutions.md#L95
Q114,"Topic 9 - System, MMIO, IPC (14)",Shared-memory IPC ring + barriers,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/09_system_mmio_ipc_and_low_level_solutions.md#L132
Q115,"Topic 9 - System, MMIO, IPC (14)",Logging subsystem (ring + backpressure),Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/09_system_mmio_ipc_and_low_level_solutions.md#L170
Q116,"Topic 9 - System, MMIO, IPC (14)",Crash-dump persistent buffer,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/09_system_mmio_ipc_and_low_level_solutions.md#L207
Q117,"Topic 9 - System, MMIO, IPC (14)",Event-driven FSM engine,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/09_system_mmio_ipc_and_low_level_solutions.md#L232
Q118,"Topic 9 - System, MMIO, IPC (14)",Telemetry pipeline,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/09_system_mmio_ipc_and_low_level_solutions.md#L266
Q119,"Topic 9 - System, MMIO, IPC (14)",Bootloader A/B flow,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/09_system_mmio_ipc_and_low_level_solutions.md#L288
Q120,"Topic 9 - System, MMIO, IPC (14)",Safe atoi,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/09_system_mmio_ipc_and_low_level_solutions.md#L317
Q121,"Topic 9 - System, MMIO, IPC (14)",memmove + optimized memcpy,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/09_system_mmio_ipc_and_low_level_solutions.md#L364
Q122,"Topic 9 - System, MMIO, IPC (14)",Framed packet parser (len+CRC),Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/09_system_mmio_ipc_and_low_level_solutions.md#L406
Q123,Topic 10 - Advanced Safety (12),MMIO polling helper (timeout),Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/10_advanced_safety_and_validation_solutions.md#L3
Q124,Topic 10 - Advanced Safety (12),DMA descriptor ownership FSM,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/10_advanced_safety_and_validation_solutions.md#L38
Q125,Topic 10 - Advanced Safety (12),Cache maintenance (clean/invalidate),Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/10_advanced_safety_and_validation_solutions.md#L72
Q126,Topic 10 - Advanced Safety (12),ISR latency budget enforcement,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/10_advanced_safety_and_validation_solutions.md#L97
